Time	Temperature 1	Temperature 2	Temperature 3	Temperature 4
t	Temp 1	Temp 2	Temp 3	Temp 4
min 	°C 	°C 	°C 	°C 
134,5	68,666350914	55,2627494496	36,6761148137	23,7783463702
135	68,7109571082	55,1324175715	36,7005227403	23,8713964903
135,5	68,7109571082	55,1649009578	36,7249362019	23,7783463702
136	68,7109571082	55,1324175715	36,7005227403	23,7319104094
136,5	68,7556142392	55,1324175715	36,7249362019	23,7551289027
137	68,7109571082	55,1649009578	36,7249362019	23,6854702985
137,5	68,7556142392	55,2302001148	36,7739800096	23,6622486572
138	68,8003224468	55,2302001148	36,7739800096	23,6622486572
138,5	68,8003224468	55,2953207986	36,749555391	24,0106574553
139	68,8003224468	55,2953207986	36,7739800096	23,7783463702
139,5	68,8003224468	55,2302001148	36,8228459902	23,824968562
140	68,8003224468	55,3931673878	36,7984102047	23,7086908787
140,5	68,8003224468	55,3931673878	36,8228459902	24,0106574553
141	68,8003224468	55,2953207986	36,8472873799	23,824968562
141,5	68,8003224468	55,3279142073	36,8472873799	24,3590545653
142	68,8003224468	55,3931673878	36,8717343876	23,4994760481
142,5	68,8003224468	55,3931673878	36,8472873799	23,9874496028
143	68,8003224468	55,3605297218	36,8961870273	23,8481830153
143,5	68,8003224468	55,2627494496	36,8717343876	23,6390259428
144	68,8003224468	55,1974062215	36,9206453128	23,9178205524
144,5	68,8003224468	55,4258272515	36,8961870273	23,9178205524
145	68,8450818717	55,3279142073	36,8961870273	24,0106574553
145,5	68,8450818717	55,3279142073	36,9451092581	23,9410311631
146	68,8898926547	55,3931673878	36,969578877	24,0804658877
146,5	68,8898926547	55,3605297218	36,969578877	24,3126625639
147	68,9347549376	55,5239404908	36,9942548244	24,0106574553
147,5	68,9347549376	55,4912137566	36,9942548244	24,4518300234
148	68,9796688624	55,3931673878	36,9942548244	23,9410311631
148,5	68,9796688624	55,4912137566	37,0187358792	24,1732781724
149	68,9796688624	55,5569581361	36,9942548244	23,9410311631
149,5	68,9796688624	55,622524075	37,0432226497	23,8713964903
150	69,0246345718	55,4258272515	37,0432226497	24,2428788024
150,5	69,0696522091	55,5239404908	37,0677151498	23,5691608609
151	69,0246345718	55,5569581361	37,0677151498	23,8946089987
151,5	69,0696522091	55,5897298671	37,0432226497	23,9642408426
152	69,0696522091	55,5239404908	37,0677151498	24,1732781724
152,5	69,0696522091	55,6553408067	37,0677151498	23,824968562
153	69,0696522091	55,4258272515	37,0677151498	23,6622486572
153,5	69,0696522091	55,4912137566	37,0922133935	23,6622486572
154	69,0696522091	55,4912137566	37,0922133935	23,8017531186
154,5	69,0696522091	55,5897298671	37,0677151498	23,7086908787
155	69,1147219181	55,622524075	37,0922133935	23,6158021434
155,5	69,1147219181	55,5897298671	37,1167173948	23,8017531186
156	69,1147219181	55,5569581361	37,1167173948	23,9874496028
156,5	69,1147219181	55,5569581361	37,1167173948	23,9874496028
157	69,159843843	55,6553408067	37,1167173948	24,1732781724
157,5	69,1147219181	55,6553408067	37,1412271677	23,824968562
158	69,1147219181	55,7210420296	37,1657427263	23,5691608609
158,5	69,1147219181	55,622524075	37,1657427263	23,8481830153
159	69,1147219181	55,622524075	37,1902640846	23,8713964903
159,5	69,1147219181	55,5239404908	37,1657427263	23,9178205524
160	69,159843843	55,5569581361	37,1902640846	23,7551289027
160,5	69,159843843	55,6553408067	37,1902640846	24,2894654542
161	69,159843843	55,7210420296	37,1902640846	24,0338644119
161,5	69,159843843	55,5897298671	37,2147912568	23,9874496028
162	69,159843843	55,5897298671	37,239525371	23,9874496028
